time,NESM3,NorESM2-LM,UKESM1-0-LL,TaiESM1,NorESM2-MM,MRI-ESM2-0,MPI-ESM1-2-LR,MPI-ESM1-2-HR,MIROC6,MIROC-ES2L,MCM-UA-1-0,IPSL-CM6A-LR,INM-CM5-0
12/31/85,1.185402,1.373238,0.7885014,1.221983,0.7634555,2.82599,0.6600176,0.7041058,1.633733,1.875456,2.402225,1.380653,1.179133
12/31/86,1.160434,1.302884,1.185098,1.81851,1.584811,1.418398,0.3545538,1.150805,0.9113351,0.966546,1.541938,1.225533,1.863074
12/31/87,0.6473732,0.5790714,1.121929,2.685955,1.041399,3.532364,0.3886313,1.07754,1.871427,1.38735,1.8545,2.762005,1.435621
12/31/88,1.284878,0.83155,0.7232042,1.848162,0.9529245,1.173491,0.7634283,0.9249678,1.272713,2.128646,1.797501,1.851718,1.66825
12/31/89,1.301891,1.14171,0.9234755,1.170492,1.142609,1.492791,0.5025715,0.4990254,1.676884,1.487394,1.303555,1.798396,2.042956
12/31/90,0.8998201,0.8979569,0.5857041,3.300131,1.791279,2.876712,0.4912334,0.477736,1.371766,1.684018,1.944812,2.083004,1.815039
12/31/91,0.967661,0.1911845,0.6759884,2.143909,1.422402,0.8883676,0.7027273,0.70892,1.65647,1.347933,1.149526,1.158799,1.482344
12/31/92,0.8384886,0.9647857,0.6297081,1.527056,1.008585,1.959983,0.2586883,0.5997543,1.765917,1.367258,2.516076,2.010751,2.040082
12/31/93,0.6410059,0.4744159,1.239433,2.769702,1.453377,1.64105,0.7647782,0.6295516,2.61652,1.927996,3.179134,1.682329,1.965583
12/31/94,1.939933,1.028647,1.199426,2.373443,1.51557,3.2505,0.4147186,0.6725957,1.475457,2.165763,2.389536,2.529338,1.506378
12/31/95,1.152628,1.238289,0.6483086,1.178589,1.148991,2.779181,0.7815442,0.7281986,1.793751,1.947403,2.510674,1.774811,2.00301
12/31/96,0.717892,1.314339,0.7352666,2.628152,1.641029,0.6903291,0.7943653,0.3562733,1.70736,1.762194,3.54701,2.473804,1.676644
12/31/97,0.8432443,0.5269252,0.7365712,2.644687,1.432596,2.599249,0.7226271,0.6724207,1.647038,1.729072,0.8498642,2.592664,2.253234
12/31/98,1.230715,3.076201,0.6682919,1.999172,0.6614781,3.19553,0.3932381,0.7708744,1.766323,0.9922788,1.821645,1.771889,1.940655
12/31/99,1.694996,0.9446143,0.6702366,2.32849,0.8356898,0.6642188,0.4011565,0.7272601,1.745198,1.60394,3.080389,1.402323,1.497754
12/31/00,1.325062,4.291866,0.9043165,1.203446,0.617559,2.875357,0.648071,0.4290746,1.815724,1.482708,1.591368,2.550113,1.887004
12/31/01,0.9801264,0.9333295,0.6577801,1.88426,0.8154212,2.445159,0.5880496,0.5927182,1.333992,1.404974,3.328007,2.632941,1.91781
12/31/02,1.533846,1.401905,0.7337635,2.168672,1.145046,0.7351639,0.5509455,0.7311515,2.280676,1.749034,2.632739,1.864353,1.226172
12/31/03,1.462844,0.2366091,0.9902465,2.842001,1.454169,4.077413,1.073447,0.4835424,1.750571,2.475587,3.471735,2.59895,1.834801
12/31/04,0.7755749,1.331961,0.9328927,3.290124,2.819752,1.376103,0.5414542,0.5258024,2.451706,1.683716,1.913936,1.912355,1.665765
12/31/05,1.08295,1.732494,1.190445,1.502324,1.114947,2.991654,0.639798,0.7925902,1.726762,1.340314,1.285292,2.600358,1.300252
12/31/06,1.849061,0.4713684,1.261187,1.613296,1.215256,0.8368136,0.4349358,1.091215,2.008433,1.252979,2.147673,2.995106,1.864789
12/31/07,1.203623,1.420203,0.7584552,2.112117,1.072915,2.863765,0.4641894,0.8259654,1.574356,1.084189,1.116193,3.179779,1.845983
12/31/08,1.445373,2.125806,1.12763,1.530172,0.7903917,2.503275,0.7679399,0.9164619,1.671506,1.601157,1.435537,1.515946,1.454072
12/31/09,0.6519927,0.3765291,0.9717572,2.588803,0.3765341,2.388795,0.7644807,1.415025,1.313892,0.8161145,3.967765,2.21599,1.983414
12/31/10,1.098569,0.3734151,0.6003188,2.677894,1.009268,0.7627438,0.2451165,0.6737416,1.529523,2.390157,4.650022,1.858689,1.88695
12/31/11,1.19665,1.04388,1.146256,2.388425,0.8662202,0.7223029,0.6918717,1.639064,1.249893,2.165034,2.739153,2.168363,1.524111
12/31/12,2.018604,0.3903095,1.182577,2.264169,0.8062424,4.221992,0.9048138,1.096976,2.315657,1.989169,1.493572,1.416746,2.048995
12/31/13,1.038602,1.487134,1.022693,1.569446,0.6891705,2.426927,0.4297878,0.9727662,1.786733,1.207115,2.265144,1.605568,1.777226
12/31/14,1.325739,1.1687,0.5834547,1.1892,2.517846,1.29933,0.5258227,0.7466856,1.36236,1.633863,2.916288,3.887002,2.549228
